repo_base_url,repo_patch_urls
https://github.com/Enalean/tuleap,['https://github.com/Enalean/tuleap/commit/aacd5e798301f24f218298ec8236ec7bef0f5d.patch']
https://github.com/Exiv2/exiv2,"['https://github.com/Exiv2/exiv2/commit/341de4500ab993103c215bfb07d43d4a08654a.patch', 'https://github.com/Exiv2/exiv2/commit/670fb73dd5ee8acab90971c4878de29f9fc43a.patch', 'https://github.com/Exiv2/exiv2/commit/f63b4da499c6c0006b9f169db9f0115a8f75b7e.patch', 'https://github.com/Exiv2/exiv2/commit/505e2417e408abaf8f9fe9e5076f567a65cc59c.patch', 'https://github.com/Exiv2/exiv2/commit/d68f42a609a4680ffa13a39e21679dca623c33e.patch', 'https://github.com/Exiv2/exiv2/commit/5f360a99af83bd44d269e8fce6f48f375094f5a.patch', 'https://github.com/Exiv2/exiv2/commit/3ad0050469e6ea63b4081f2a88c264ce8ab55c.patch', 'https://github.com/Exiv2/exiv2/commit/2fb00c8a16ce93756cddd70536e361a49369ba8.patch', 'https://github.com/Exiv2/exiv2/commit/ffab62263311d6a3d6ca7ce8ad65195f0e829af.patch', 'https://github.com/Exiv2/exiv2/commit/ed874703ad553338f973d537b8159d0eb4375c.patch', 'https://github.com/Exiv2/exiv2/commit/3495fa50065ab4c3cc7f4c96632c8034fe16999.patch', 'https://github.com/Exiv2/exiv2/commit/68966932510213b5656fcf433ab6d7e26f48e23.patch', 'https://github.com/Exiv2/exiv2/commit/446e79c74c6ead22006c2e9f2dce9f81ac78a9a.patch', 'https://github.com/Exiv2/exiv2/commit/dc04cc92ebd6dd475a6c20ebc6f6fe80022856d.patch', 'https://github.com/Exiv2/exiv2/commit/163f3ce7f17a143f58d857a5cba3cb7b24436a.patch', 'https://github.com/Exiv2/exiv2/commit/59ed1a279f3a3a1f308d302b92e8f200ce27efc.patch', 'https://github.com/Exiv2/exiv2/commit/c7303276e9e611e020ecbd42f98666cd9856d4a.patch', 'https://github.com/Exiv2/exiv2/commit/0bd221389da5bc6a789909ffa4db930d09d3b4a.patch', 'https://github.com/Exiv2/exiv2/commit/a82c68e90c1737a0de37193b3210e4162264eb8.patch']"
https://github.com/FOGProject/fogproject,"['https://github.com/FOGProject/fogproject/commit/68d73740d7d40aee77cfda3fb8199d58bf04f4.patch', 'https://github.com/FOGProject/fogproject/commit/2e2421f19620669b9930f72fb73a8dbc5efe49.patch']"
https://github.com/FasterXML/jackson-databind,"['https://github.com/FasterXML/jackson-databind/commit/33d96c13fe18a2dad01b19ce195548c9acea9d.patch', 'https://github.com/FasterXML/jackson-databind/commit/7487cf7eb14be2f65a1eb108e8629c07ef45e0a.patch', 'https://github.com/FasterXML/jackson-databind/commit/ad418eeb974e357f2797aef64aa0e3ffaaa6125.patch', 'https://github.com/FasterXML/jackson-databind/commit/7487cf7eb14be2f65a1eb108e8629c07ef45e0.patch', 'https://github.com/FasterXML/jackson-databind/commit/b5a304a98590b6bb766134f9261e6566dcbbb6d.patch', 'https://github.com/FasterXML/jackson-databind/commit/454be8bb8c913be18298327a84ca45a280b6160.patch', 'https://github.com/FasterXML/jackson-databind/commit/fc4214a883dc087070f25da738ef0d49c2f3387.patch', 'https://github.com/FasterXML/jackson-databind/commit/05d7e0e13f43e12db6a51726df12c8b4d804067.patch', 'https://github.com/FasterXML/jackson-databind/commit/77040d85e3eb6710508e6445640ae1a3d5e60c2.patch', 'https://github.com/FasterXML/jackson-databind/commit/9f4e97019fb0dd836533d0b6198c88787e235a.patch', 'https://github.com/FasterXML/jackson-databind/commit/5f7d5f1e2ea07adce952995e93b8fa86181d58c.patch', 'https://github.com/FasterXML/jackson-databind/commit/567194c53ae91f0a14dc27239afb739b1c1044.patch', 'https://github.com/FasterXML/jackson-databind/commit/87d29af25e82a249ea15858e2d4ecbf64091db4.patch', 'https://github.com/FasterXML/jackson-databind/commit/f6d9c664f6d481703138319f6a0f1fdbddb3a25.patch', 'https://github.com/FasterXML/jackson-databind/commit/4d038c9de0aa80a5dae27f552a975cb39cc42b6.patch', 'https://github.com/FasterXML/jackson-databind/commit/7dbf51bf78d157098074a20bd9da39bd48c18e.patch', 'https://github.com/FasterXML/jackson-databind/commit/6cc9f1a1af323cd156f5668a47e43bab324ae1.patch', 'https://github.com/FasterXML/jackson-databind/commit/a424c038ba0c0d65e579e22001dec925902ac0.patch', 'https://github.com/FasterXML/jackson-databind/commit/191a4cdf87b56d2ddddb77edd895ee756b7f75.patch', 'https://github.com/FasterXML/jackson-databind/commit/28badf7ef60ac3e7ef151cd8e8ec010b847922.patch', 'https://github.com/FasterXML/jackson-databind/commit/e2ba12d5d60715d95105e3e790fc234cfb5989.patch', 'https://github.com/FasterXML/jackson-databind/commit/1ca0388c2fb37ac6a06f1c188ae89c41e3e15e.patch', 'https://github.com/FasterXML/jackson-databind/commit/90ee9f522a127093075b4c30c7c2bc876300fcc.patch', 'https://github.com/FasterXML/jackson-databind/commit/9f4e97019fb0dd836533d0b6198c88787e235ae.patch', 'https://github.com/FasterXML/jackson-databind/commit/3bfbb83.patch', 'https://github.com/FasterXML/jackson-databind/commit/28badf7ef60ac3e7ef151cd8e8ec010b8479226.patch', 'https://github.com/FasterXML/jackson-databind/commit/d4983c740fec7d5576b207a8c30a63d3ea7443d.patch', 'https://github.com/FasterXML/jackson-databind/commit/87d29af25e82a249ea15858e2d4ecbf64091db.patch', 'https://github.com/FasterXML/jackson-databind/commit/a054585e2175ad0882f07bcafedecfac86230f1.patch', 'https://github.com/FasterXML/jackson-databind/commit/ddfddfb.patch', 'https://github.com/FasterXML/jackson-databind/commit/c9ef4a10d6f6633cf470d6a469514b68fa2be2.patch', 'https://github.com/FasterXML/jackson-databind/commit/819cdbcab51c6da9fb896380f2d46e9b7d4fdc3.patch', 'https://github.com/FasterXML/jackson-databind/commit/73c1c2cc76e6cdd7f3a5615cbe3207fe96e4d3d.patch', 'https://github.com/FasterXML/jackson-databind/commit/998efd708284778f29d83d7962a9bd935c22831.patch', 'https://github.com/FasterXML/jackson-databind/commit/914e7c9f2cb8ce66724bf26a72adc7e95899249.patch', 'https://github.com/FasterXML/jackson-databind/commit/05d7e0e13f43e12db6a51726df12c8b4d80406.patch', 'https://github.com/FasterXML/jackson-databind/commit/612f971b78c60202e9cd75a299050c8f2d724a.patch', 'https://github.com/FasterXML/jackson-databind/commit/41b8bdb5ccc1d8edb71acf1c8234da235a2424.patch', 'https://github.com/FasterXML/jackson-databind/commit/bc67eb11a7cf57561f861ff16f879f1fceb577.patch', 'https://github.com/FasterXML/jackson-databind/commit/592872f4235c7f2a3280725278da55544032f7.patch', 'https://github.com/FasterXML/jackson-databind/commit/3e8fa3beea49ea62109df9e643c9cb678dabdd.patch', 'https://github.com/FasterXML/jackson-databind/commit/328a0f833daf6baa443ac3b37c818a0204714b.patch', 'https://github.com/FasterXML/jackson-databind/commit/113e89fb08b1b6b072d60b3e4737ed407c13db.patch', 'https://github.com/FasterXML/jackson-databind/commit/5f7c69bba07a7155adde130d9dee2e54a54f1fa.patch', 'https://github.com/FasterXML/jackson-databind/commit/1645efbd392989cf015f459a91c999e59c921b.patch', 'https://github.com/FasterXML/jackson-databind/commit/27b4defc270454dea6842bd9279f17387eceb7.patch', 'https://github.com/FasterXML/jackson-databind/commit/3d97153944f7de9c19c1b3637b33d3cf1fbbe4.patch']"
https://github.com/FasterXML/jackson-dataformat-xml,['https://github.com/FasterXML/jackson-dataformat-xml/commit/f0f19a4c924d9db9a1e2830434061c8640092c.patch']
https://github.com/FasterXML/jackson-modules-java8,['https://github.com/FasterXML/jackson-modules-java8/commit/7de5c8dcd7e2f59f4f5a0c6c9b92cc9e785f9ea.patch']
https://github.com/Flyspray/flyspray,['https://github.com/Flyspray/flyspray/commit/00cfae5661124f9d67ac6733db61b2bfee34dcc.patch']
https://github.com/Fogetti/marked,['https://github.com/Fogetti/marked/commit/fc372d1c6293267722e33f2719d57cebd67b3da.patch']
https://github.com/ForumHulp/searchresults,['https://github.com/ForumHulp/searchresults/commit/dd8a312bb285ad9735a8e1da58e9e955837b73.patch']
https://github.com/FreeOpcUa/opcua-asyncio,['https://github.com/FreeOpcUa/opcua-asyncio/commit/f6603daa34a93a658f0e176cb0b9ee5a6643b2.patch']
